time,height_delta,beta
3.9820429245318323,0,0.225
4.746530982911151,1,0.225
8.071067694872657,0,0.225
16.14904533786457,1,0.225
18.03977120591771,0,0.225
19.07405884543758,0,0.225
19.622974999751488,0,0.225
21.54670207629838,1,0.225
29.512987699115193,2,0.225
34.59156960867995,3,0.225
39.314790220635,4,0.225
40.42368510141522,5,0.225
40.81220543422448,6,0.225
41.151584160785035,7,0.225
42.83446194730874,8,0.225
44.635347171711615,9,0.225
47.42224858308309,8,0.225
48.118473388757316,9,0.225
50.103277436015325,8,0.225
51.49298777192707,8,0.225
51.96412993513265,8,0.225
52.52282482427002,7,0.225
53.97769465223748,7,0.225
54.11119458789932,7,0.225
55.303412461892236,8,0.225
55.71633916588201,9,0.225
65.20966730171024,10,0.225
67.26350532976186,9,0.225
68.53433517836153,9,0.225
71.57290993196366,8,0.225
73.38613477514899,9,0.225
74.23341331913441,8,0.225
76.16792033188197,8,0.225
79.01873755165987,9,0.225
79.79203621354037,8,0.225
83.66944570511068,7,0.225
84.21735024866852,8,0.225
86.7044523162038,9,0.225
91.76214454795584,8,0.225
92.18915291105904,9,0.225
99.12912258183287,10,0.225
101.79881114304624,9,0.225
103.60932080782753,10,0.225
103.64010299526464,10,0.225
104.79381417674118,9,0.225
105.92951108877195,9,0.225
109.76819072007154,8,0.225
114.86373078792766,9,0.225
117.8901051026917,8,0.225
118.3274902627165,9,0.225
122.72780158741378,10,0.225
124.99993617193911,11,0.225
125.33644602358322,10,0.225
128.73614026067872,9,0.225
129.0607838866254,9,0.225
133.07737389670802,8,0.225
134.51956435472508,9,0.225
135.5071935840486,8,0.225
135.50865431735394,9,0.225
141.32062096853767,8,0.225
143.58375127149495,9,0.225
143.58418012717243,8,0.225
144.78328770393745,8,0.225
147.0724095310592,9,0.225
148.0264367073487,8,0.225
149.4155584845825,8,0.225
150.08050992977152,9,0.225
150.6499152986976,10,0.225
151.05599913783158,11,0.225
152.87636737334387,10,0.225
154.8928730607071,11,0.225
155.86451913357376,10,0.225
157.03524023414298,11,0.225
157.07813888509583,11,0.225
158.7456916061772,10,0.225
160.06060850728173,11,0.225
160.21134881546772,11,0.225
160.4438844252582,12,0.225
160.58950376670433,12,0.225
162.94964436914026,11,0.225
164.54876203242867,12,0.225
167.47111156327261,11,0.225
174.61214622422915,12,0.225
179.05807405150637,11,0.225
183.06511048988676,10,0.225
184.77090410930953,10,0.225
186.56414698716785,9,0.225
186.64041877309472,9,0.225
188.18358230052053,9,0.225
190.49845800972582,8,0.225
190.50026385142627,8,0.225
190.69737003984474,8,0.225
191.9051732530899,9,0.225
192.25715366252604,10,0.225
193.63336966199353,11,0.225
194.39913993635804,12,0.225
197.37510983758898,11,0.225
204.86625589495767,10,0.225
205.31875667427488,11,0.225
209.34562940086613,10,0.225
209.77994225522647,10,0.225
210.55744697925007,11,0.225
211.62571090116683,12,0.225
215.99502223188367,13,0.225
217.53391395813756,12,0.225
222.02366007817122,11,0.225
224.02055460555005,10,0.225
228.4838139393849,11,0.225
230.04002238690185,12,0.225
232.76469673772908,13,0.225
235.86007463849046,14,0.225
237.84783521352324,13,0.225
238.73925826122303,14,0.225
239.44292279546798,15,0.225
239.65381453620498,16,0.225
240.64625115245858,15,0.225
240.97188187874434,16,0.225
243.12672975874767,15,0.225
246.3526178380467,16,0.225
247.62331604602264,15,0.225
249.40867971555883,15,0.225
249.42072699338453,16,0.225
250.5389936108655,15,0.225
255.1136084877355,14,0.225
257.1746209232445,15,0.225
261.284284510405,16,0.225
266.919221767709,15,0.225
269.67649021792334,14,0.225
272.02100290638253,15,0.225
278.6985607953775,14,0.225
279.37168385234054,15,0.225
279.99773712244036,16,0.225
281.5523559817715,17,0.225
286.95775650057357,18,0.225
288.0109069095758,17,0.225
289.20441944837023,18,0.225
290.76116179450054,19,0.225
290.91953195282684,18,0.225
292.7241415522194,19,0.225
299.41635912425164,18,0.225
299.4915756969844,18,0.225
299.7928510594544,18,0.225
305.72448134959774,19,0.225
306.73686966054277,18,0.225
307.1289481593267,19,0.225
307.57792169109604,19,0.225
309.2788877084908,18,0.225
311.15987705914637,19,0.225
320.58892929970375,18,0.225
322.01626568260383,19,0.225
330.53969125390057,18,0.225
332.91940137003974,19,0.225
340.49852548704644,20,0.225
340.80919472881124,21,0.225
344.28331787867955,20,0.225
344.4831161582613,20,0.225
346.0122119698941,20,0.225
347.40352663081467,21,0.225
350.99019419861213,22,0.225
351.1742161790594,21,0.225
353.66077446922446,20,0.225
355.4854498209854,21,0.225
355.8869417527249,20,0.225
356.63213532106636,21,0.225
359.79391772673733,20,0.225
361.1364182759667,21,0.225
365.1614672306508,22,0.225
366.629959636983,21,0.225
367.30380424925636,21,0.225
368.2198380593695,21,0.225
369.12429736688074,20,0.225
373.24604441249795,21,0.225
374.08609083189316,20,0.225
375.3779379510883,20,0.225
382.0212863841768,19,0.225
383.5667785513169,19,0.225
383.60445704097367,19,0.225
387.2686165696548,20,0.225
391.76997248330565,19,0.225
400.72733146555896,20,0.225
401.69517061066233,19,0.225
403.28927044411523,20,0.225
404.33819766476904,21,0.225
404.7135126264129,20,0.225
406.30561694497385,20,0.225
406.4829511847244,20,0.225
406.49390103437497,20,0.225
407.63955771141497,21,0.225
414.35007954858963,20,0.225
414.6450394085701,20,0.225
417.1018032669962,21,0.225
417.5285278966124,20,0.225
418.9875124597676,20,0.225
420.6497652137805,21,0.225
421.3107148297878,20,0.225
423.35173482290344,19,0.225
426.72937375180527,20,0.225
428.4872727581685,19,0.225
428.8916799353483,20,0.225
429.79712070054063,21,0.225
431.5532488733995,22,0.225
432.78124861544353,23,0.225
433.1793226632525,22,0.225
437.5175547343618,21,0.225
437.966127674818,22,0.225
440.9619658694256,23,0.225
441.02464856782154,24,0.225
442.0154872643723,23,0.225
446.27628954423227,22,0.225
449.87548186361914,23,0.225
450.3138237615831,24,0.225
451.2635214343523,23,0.225
452.9782592096791,24,0.225
453.02700316162577,24,0.225
454.6482634332742,23,0.225
457.24672656255444,22,0.225
458.4058034083532,23,0.225
459.9371019369241,22,0.225
460.163375605479,23,0.225
463.1993257908424,22,0.225
465.01626894773915,23,0.225
465.9457530933863,24,0.225
469.8068530192632,23,0.225
471.0725349599305,23,0.225
476.84147365522904,22,0.225
477.2511520275067,23,0.225
481.40838223519165,22,0.225
482.84280352655844,23,0.225
