time,height_delta,beta
0.07448387043727217,1,0.75
1.7863041883494006,0,0.75
4.335812020798577,0,0.75
4.665598570874354,0,0.75
4.8587858231236645,0,0.75
4.89216754663742,0,0.75
6.506279563714893,0,0.75
6.742765465305588,1,0.75
6.951835249639435,1,0.75
7.405494459042946,2,0.75
8.172609867736849,3,0.75
8.264186616022902,4,0.75
8.986370031434456,3,0.75
9.019831341401877,4,0.75
9.464421264085216,4,0.75
9.983395464078383,5,0.75
10.458770819234072,4,0.75
11.423578917322445,5,0.75
13.095788379247084,4,0.75
13.607274955904101,5,0.75
13.649896731511857,5,0.75
13.791879657816649,6,0.75
14.346023233015284,5,0.75
14.760499322848071,6,0.75
14.931881325959,6,0.75
15.637875439819684,5,0.75
17.208964609411286,4,0.75
18.655954608021496,3,0.75
18.74740155661132,3,0.75
18.826884941237775,4,0.75
18.869495446714495,4,0.75
20.511261322136708,5,0.75
20.573152741210247,6,0.75
20.747077864938635,5,0.75
21.510459877700082,5,0.75
21.5804987903211,5,0.75
21.783101101728597,6,0.75
21.934958272072485,5,0.75
22.008028905932395,6,0.75
22.085480519771252,6,0.75
22.623456016426456,7,0.75
22.78622667544837,7,0.75
23.983423789792354,8,0.75
25.031243656634555,9,0.75
25.618578597423653,8,0.75
27.06160420347781,9,0.75
28.29834035195856,10,0.75
28.411299715446248,9,0.75
29.495421159133713,8,0.75
29.93730534018911,9,0.75
30.121218700499504,9,0.75
30.43210665215792,10,0.75
30.74583279641542,11,0.75
31.093839161349205,10,0.75
31.32585504510539,11,0.75
31.8168125815395,12,0.75
32.95009477665199,11,0.75
33.68316843394739,11,0.75
33.75317432108566,11,0.75
33.8291890149164,11,0.75
34.13059059051592,12,0.75
34.37236050733269,11,0.75
34.51746691542909,12,0.75
36.82387542827702,11,0.75
37.61607929478097,12,0.75
38.452035729574156,11,0.75
38.54644419790249,11,0.75
39.20909199367821,11,0.75
39.61505591894387,10,0.75
41.0327129705742,9,0.75
41.651914610969456,9,0.75
41.72667981422187,10,0.75
43.37708870964104,11,0.75
43.892574661259445,12,0.75
44.706257576222455,11,0.75
45.363330075765056,11,0.75
45.905185791056844,10,0.75
46.51741188122664,11,0.75
48.142441918210366,10,0.75
49.16663774082574,11,0.75
49.17856760682617,12,0.75
49.977261164734614,11,0.75
51.767981320035034,12,0.75
52.973588639119875,13,0.75
52.98654858932966,12,0.75
53.06705214054745,13,0.75
53.30379596155485,13,0.75
53.74831996775916,13,0.75
54.02928232203334,14,0.75
54.11966114181508,13,0.75
54.19847475611111,13,0.75
54.55432121398888,13,0.75
54.88564830739364,13,0.75
55.3910257836105,14,0.75
55.6745844628937,13,0.75
55.9980819943341,14,0.75
57.19598727284863,13,0.75
58.39756722188735,14,0.75
60.15232991220451,13,0.75
60.499915105065554,13,0.75
60.533386434888975,13,0.75
61.72464675402421,14,0.75
62.08401422866851,13,0.75
62.51631839590792,14,0.75
63.0805893170295,14,0.75
63.556252819995045,13,0.75
63.96283556819501,13,0.75
65.67687025467514,12,0.75
66.40540465646498,13,0.75
66.55814878327433,14,0.75
66.67607604651715,14,0.75
66.9088413146224,13,0.75
67.30663072067678,13,0.75
67.6752056427472,13,0.75
67.70610431054594,14,0.75
67.79460770244512,14,0.75
67.95390126013272,13,0.75
68.14595108224334,14,0.75
70.63667041296232,15,0.75
71.63055457250053,14,0.75
73.76036006111714,13,0.75
75.15584772789911,12,0.75
75.76098068643745,12,0.75
75.8699462615787,12,0.75
76.56378925189026,11,0.75
77.32061629418882,11,0.75
77.50632073350035,11,0.75
77.6010382157267,10,0.75
78.09039958694349,10,0.75
79.57543441272418,9,0.75
79.69110313070682,10,0.75
79.84458989135058,11,0.75
79.92874053858557,12,0.75
80.07703890962713,12,0.75
80.15826324033159,12,0.75
81.12659993377427,13,0.75
81.33996013882268,12,0.75
81.38809994750655,12,0.75
81.7654851201695,12,0.75
81.85523594478039,13,0.75
82.08285098275368,14,0.75
82.14081032163762,15,0.75
83.0658497671629,14,0.75
83.38634013804833,15,0.75
83.40646165875313,16,0.75
83.62693671196143,16,0.75
84.01646485916932,17,0.75
84.52526531556553,16,0.75
85.41611258036866,16,0.75
85.56372421174119,17,0.75
86.56701956221747,18,0.75
86.64255258507549,19,0.75
86.78180100758095,18,0.75
86.86731378694854,19,0.75
89.64310339508975,20,0.75
89.70646752149638,21,0.75
90.2139165405218,20,0.75
90.31506141679952,20,0.75
90.44922783570492,20,0.75
90.65232314939131,21,0.75
90.72024067433263,21,0.75
90.75214121541728,22,0.75
91.37948487448644,21,0.75
92.37163331995211,21,0.75
92.73417666220548,22,0.75
93.37066893178178,23,0.75
94.17188607204442,24,0.75
94.6489766557688,23,0.75
95.22387306958052,24,0.75
95.96556259221319,23,0.75
96.2786536793844,24,0.75
96.53841738251373,24,0.75
96.60103342320608,24,0.75
98.13901765977836,23,0.75
98.43798303390388,24,0.75
98.62418748191018,24,0.75
98.67586030660122,25,0.75
99.20407217975959,24,0.75
99.56434445725473,24,0.75
99.82308469970145,24,0.75
100.22036680405337,25,0.75
101.99289639417638,24,0.75
102.99997256437405,25,0.75
103.44088054724104,24,0.75
104.86505501139752,23,0.75
107.42137047820367,24,0.75
107.79832043111972,23,0.75
108.66437160790403,23,0.75
109.56872853901947,22,0.75
110.54774081389633,22,0.75
112.39172675290044,21,0.75
113.67377671695498,22,0.75
113.78142473897694,21,0.75
115.19035421125695,20,0.75
115.41267811274558,20,0.75
115.508743725238,21,0.75
115.53966264303178,22,0.75
116.26513697560546,21,0.75
116.5211310613188,21,0.75
117.33977492873719,20,0.75
117.4258770136512,21,0.75
117.77998951528873,21,0.75
118.4407773441168,22,0.75
118.75175941071059,21,0.75
119.13936221427196,21,0.75
119.59329725205632,21,0.75
120.4671364168467,22,0.75
121.69133050434111,23,0.75
121.88544270018858,22,0.75
122.24503339572112,22,0.75
124.13671307357077,23,0.75
124.48986865274789,22,0.75
124.5411336372403,22,0.75
124.55412826396615,22,0.75
124.94456402066342,22,0.75
124.96235404872843,23,0.75
125.1381776873149,24,0.75
125.1875429850222,25,0.75
125.87032860154787,24,0.75
126.46978989418663,24,0.75
128.31868880167877,23,0.75
128.6844382404813,24,0.75
129.2530623285231,25,0.75
129.5014124765786,26,0.75
130.78469458105118,25,0.75
131.00176259500768,26,0.75
131.89277448597613,25,0.75
132.3688554616625,24,0.75
132.68986022819996,25,0.75
133.13330714485983,25,0.75
133.3876228639808,25,0.75
138.13725466267945,24,0.75
138.53950766499577,24,0.75
139.53778284370938,23,0.75
139.82908968534923,23,0.75
141.92746987942203,22,0.75
142.86128307865837,22,0.75
142.89817074417545,22,0.75
142.96380316576418,21,0.75
143.5317124336199,21,0.75
143.66515178966065,21,0.75
144.1691724481642,20,0.75
145.13013110887763,21,0.75
145.18518321674037,20,0.75
145.89706828087873,20,0.75
146.0613045551789,21,0.75
146.07238408230432,22,0.75
146.66470038044346,23,0.75
146.83557661883665,24,0.75
146.96611572932238,23,0.75
148.1696464453618,22,0.75
148.36907604631466,23,0.75
149.1381231584218,23,0.75
149.6617662894361,22,0.75
149.87728763316485,23,0.75
150.69688849955782,24,0.75
152.28561185044526,23,0.75
152.85345311489274,23,0.75
153.8670335158073,24,0.75
154.16435759462485,23,0.75
155.08220059211203,23,0.75
155.15531479215,23,0.75
156.05699525043937,24,0.75
156.53251916997723,25,0.75
157.1421733169442,26,0.75
158.25186029894078,25,0.75
159.11222342928122,25,0.75
159.18997388108022,25,0.75
159.21556050960612,25,0.75
159.80445663606898,24,0.75
159.83647559650748,25,0.75
160.47820511105172,26,0.75
161.32030441080065,27,0.75
161.62872710185025,28,0.75
161.95688789484757,29,0.75
162.84973198950402,30,0.75
162.9811156545095,31,0.75
163.08313808447681,30,0.75
164.51585069985612,29,0.75
165.45127359556636,30,0.75
165.59028647921033,31,0.75
167.0146147006021,32,0.75
167.36294553786104,31,0.75
167.7219579674964,31,0.75
168.1081267507301,31,0.75
168.71551604932944,30,0.75
169.08425512871412,31,0.75
169.48078732415323,32,0.75
170.01360430628358,33,0.75
170.66447616183646,32,0.75
170.8481121959479,32,0.75
171.6470502587978,32,0.75
172.0913085346497,31,0.75
172.84362624806778,31,0.75
173.16773454876514,30,0.75
174.05834487806393,30,0.75
175.18398578718174,29,0.75
175.24624288541222,29,0.75
175.92529576914575,29,0.75
178.86705314569073,30,0.75
180.37271735539576,29,0.75
180.45562498181562,30,0.75
181.1723282635262,30,0.75
181.78446324214246,31,0.75
184.68044766680256,30,0.75
185.28351939455735,31,0.75
186.14477784769753,32,0.75
187.50626771411297,33,0.75
187.57592880586103,34,0.75
189.4141433006203,33,0.75
190.49384927456137,32,0.75
190.57161663923844,33,0.75
190.94049489600252,33,0.75
191.31520846282547,34,0.75
