time,height_delta,beta
2.6704379248392933,0,0.225
3.643054979091867,1,0.225
9.67617753452485,2,0.225
11.269218118445128,3,0.225
11.898799844275834,4,0.225
13.300006191697358,5,0.225
13.554793075179703,4,0.225
13.72968047257835,4,0.225
15.538214158266724,3,0.225
16.208593726850367,3,0.225
18.86172295139054,4,0.225
19.873857302827012,3,0.225
20.66201845210735,3,0.225
21.812252081552995,2,0.225
22.69805038000252,3,0.225
22.770404378202606,3,0.225
22.77092687534497,3,0.225
25.327028452151918,4,0.225
25.80213100647686,3,0.225
28.02808710228654,4,0.225
28.89924041617306,3,0.225
30.877357045790482,2,0.225
32.64676464792808,3,0.225
33.29791170921248,2,0.225
36.42389791146791,3,0.225
37.77121687398295,2,0.225
42.893373260742614,1,0.225
48.365320606653796,0,0.225
48.847757105637655,1,0.225
49.44587839663327,0,0.225
51.96683101750965,0,0.225
52.24660902934879,1,0.225
52.352411953769014,1,0.225
53.24040734797463,2,0.225
53.485054710338126,1,0.225
57.4368628586139,2,0.225
57.7191329112946,3,0.225
58.48333180951444,2,0.225
60.6823942827528,1,0.225
61.75430220289941,2,0.225
63.24720310307278,1,0.225
73.24860635664302,2,0.225
73.44855147499526,1,0.225
77.76117562652905,2,0.225
77.886045867301,3,0.225
78.39574358903934,4,0.225
84.25309103071648,3,0.225
85.92597683420999,2,0.225
87.46043825991076,1,0.225
89.778886268065,2,0.225
91.07693044659011,1,0.225
92.14795850138347,2,0.225
92.38392775697885,3,0.225
94.59580485969276,2,0.225
95.58181676309965,3,0.225
96.27022334657572,2,0.225
102.31044928508854,1,0.225
102.60307698550636,0,0.225
104.04378296982011,0,0.225
106.13302928044817,0,0.225
106.46928475579244,0,0.225
107.38837242534994,0,0.225
108.63993131913571,0,0.225
108.74862467860613,0,0.225
110.34844623658154,0,0.225
110.76505861632165,1,0.225
111.0413836944,1,0.225
112.24071851925008,0,0.225
113.27606204620682,1,0.225
115.44599350773402,0,0.225
118.66374665923875,1,0.225
123.35744628452812,0,0.225
123.9907036377936,0,0.225
125.71157526251613,1,0.225
129.39590834875597,0,0.225
132.71423847451098,0,0.225
135.51630024644038,0,0.225
137.90895767352637,1,0.225
140.08246642944218,2,0.225
141.45946104095233,3,0.225
145.2895609211561,4,0.225
147.96324162884608,3,0.225
148.67038602623535,4,0.225
149.51502950860387,5,0.225
152.52500956320966,4,0.225
158.93040462539264,5,0.225
159.99610495978908,6,0.225
160.2108971890273,7,0.225
160.4024357013943,8,0.225
160.9003500153797,9,0.225
166.42808738378113,8,0.225
166.95589096185142,8,0.225
167.33862300304884,9,0.225
170.169326015184,10,0.225
171.61753209388948,11,0.225
172.11816590710387,12,0.225
173.1870894791276,11,0.225
174.12589319346216,12,0.225
177.13327032154896,11,0.225
177.36795428703292,12,0.225
181.66067139941075,13,0.225
