time,height_delta,beta
0.3071050007641834,1,0.75
0.8241861771305059,0,0.75
1.151968752199182,1,0.75
1.8294791294818242,0,0.75
3.639012189666861,0,0.75
5.437193984688891,1,0.75
6.606588450042892,2,0.75
7.285921592098582,1,0.75
7.7404370226849135,2,0.75
8.001840267783312,1,0.75
8.233689303946807,2,0.75
11.304605894217554,1,0.75
12.156188074622866,0,0.75
13.291471386080845,0,0.75
13.719249440330291,0,0.75
14.023943128396219,0,0.75
16.263725680320036,1,0.75
16.394485276112952,2,0.75
17.05535672952492,1,0.75
17.22099517064733,1,0.75
17.275608621543103,2,0.75
17.544478269546634,2,0.75
18.218824193961897,3,0.75
18.327824374877242,4,0.75
20.111081363845567,5,0.75
20.288571219413868,4,0.75
21.147281770335695,5,0.75
21.527324400766258,4,0.75
21.76017937354458,4,0.75
22.87096113109561,3,0.75
23.065042831279843,4,0.75
23.163044478739565,4,0.75
23.791389674168183,3,0.75
24.3404122478414,4,0.75
24.71800169460212,5,0.75
24.788420236444345,4,0.75
25.38214727867306,5,0.75
25.5986218893903,4,0.75
26.323301742600798,3,0.75
26.46801855963631,3,0.75
26.536224566821723,4,0.75
27.546681910364736,3,0.75
28.55855512874645,2,0.75
28.871840512586445,3,0.75
30.111666282961004,4,0.75
30.330273689325377,3,0.75
31.82998224303183,4,0.75
32.14689594767144,5,0.75
32.65375810870769,4,0.75
33.886189046052664,5,0.75
34.812013060785446,4,0.75
35.02984536984228,4,0.75
35.62781995034951,5,0.75
36.69524962548312,6,0.75
36.741971769796876,5,0.75
37.03221788170108,6,0.75
37.19197727759159,6,0.75
37.46738165121752,7,0.75
37.50804055424676,8,0.75
37.64431285563681,9,0.75
39.25697907345573,8,0.75
39.272743861190534,8,0.75
39.30803441465057,8,0.75
40.09882917796115,9,0.75
40.352090700063485,10,0.75
40.49693875806179,9,0.75
41.119173406711724,10,0.75
42.78921652505389,9,0.75
43.36631797811845,8,0.75
45.49833408535114,9,0.75
46.12943767932383,8,0.75
47.037297417827396,9,0.75
47.53798560727631,8,0.75
48.561762537425494,7,0.75
50.481880271221215,6,0.75
50.74329053272741,6,0.75
51.18441749555961,5,0.75
52.09600716998757,4,0.75
53.83072573399848,3,0.75
53.87402076680252,3,0.75
53.98096491157712,3,0.75
54.01682989876101,3,0.75
54.19335711439103,3,0.75
55.06379456895559,2,0.75
55.87192227155132,1,0.75
56.56506488108018,2,0.75
57.09396046609455,3,0.75
57.43183989183105,2,0.75
57.984352777645455,1,0.75
58.121969120731706,1,0.75
58.13589223882501,2,0.75
58.51136502255378,1,0.75
58.750388443181066,1,0.75
59.74420510817309,2,0.75
60.08121028287402,3,0.75
60.29924449602317,2,0.75
60.549147472955156,2,0.75
61.200948698046446,3,0.75
61.7591682318819,4,0.75
62.26720143363432,3,0.75
62.51446186264275,4,0.75
62.75068162285187,5,0.75
63.14915291994671,4,0.75
63.30435099848118,5,0.75
63.93119185215428,6,0.75
64.2149214650253,5,0.75
65.06144337308992,4,0.75
65.6961054731697,5,0.75
66.05832038949134,4,0.75
66.62760521830778,3,0.75
66.79947043156332,4,0.75
66.85597583132275,5,0.75
67.15958003609282,6,0.75
68.085151694313,5,0.75
68.14523913481074,6,0.75
68.39813389654165,7,0.75
69.71812203709592,8,0.75
70.67936011854401,9,0.75
70.96580606675593,10,0.75
71.1341494626159,9,0.75
71.68964039571979,10,0.75
71.7360086961142,11,0.75
72.14058347398779,12,0.75
72.60692568331095,11,0.75
73.20586026780113,10,0.75
73.52631574916737,10,0.75
73.64540381732505,10,0.75
74.07660843825572,11,0.75
76.22151064932883,12,0.75
76.38337310641828,13,0.75
76.41833642496965,14,0.75
77.06581879514697,15,0.75
78.28201523196692,14,0.75
79.19796943917028,15,0.75
82.09291796838858,14,0.75
83.10914475455746,13,0.75
83.51564249626833,14,0.75
84.0963885516396,15,0.75
84.15899312898743,16,0.75
84.54282234144318,15,0.75
85.00792897898857,16,0.75
85.28391400874399,15,0.75
85.66332527810054,16,0.75
86.17972331469274,15,0.75
87.73385768024218,14,0.75
88.45214762827015,13,0.75
88.4843220750858,13,0.75
88.51075162149094,13,0.75
88.8966722194262,13,0.75
89.39169028416616,12,0.75
89.459657394393,13,0.75
89.62240129957263,13,0.75
89.71813820269836,14,0.75
89.72800254397633,15,0.75
89.81198447150699,15,0.75
89.9379835742623,14,0.75
92.00592702297146,13,0.75
92.27136606712952,14,0.75
93.35762239127415,15,0.75
93.44237046734561,16,0.75
93.71961599999129,15,0.75
94.26409345416067,16,0.75
94.7646995327152,15,0.75
95.2247329614074,15,0.75
95.56437264076202,14,0.75
96.76121890278935,15,0.75
97.56838122243101,14,0.75
97.85608085615674,15,0.75
98.3092879360342,14,0.75
98.63183270083312,14,0.75
99.62742777241809,13,0.75
99.99910726066686,13,0.75
100.2911753223389,12,0.75
100.69335277941097,12,0.75
100.8265356510086,13,0.75
101.13655636260461,12,0.75
101.61484438738427,12,0.75
101.7278025135571,13,0.75
102.01920062022191,14,0.75
102.13920483488394,13,0.75
102.32134761011478,13,0.75
102.55924938071216,13,0.75
102.87842770663299,14,0.75
102.98746961864686,15,0.75
103.06477052494864,14,0.75
103.69139010350364,15,0.75
103.7383611352771,16,0.75
103.96042191395165,17,0.75
104.93642794906123,18,0.75
105.04185396339199,19,0.75
105.42199219460404,18,0.75
105.64274796351113,18,0.75
105.68744975693737,18,0.75
106.33367964682134,17,0.75
106.57131714039288,18,0.75
106.89337949408365,19,0.75
107.06269849937757,18,0.75
107.34247917151819,18,0.75
107.60390426860646,17,0.75
107.75278581293003,17,0.75
108.40119329858979,16,0.75
108.49783331185907,17,0.75
109.2245060618412,18,0.75
109.38159562405863,17,0.75
109.65821340914742,18,0.75
109.99147497937612,19,0.75
110.09214188419168,18,0.75
110.49622041393008,19,0.75
111.9834234734314,18,0.75
112.68488842379708,19,0.75
112.99845828495617,18,0.75
113.53098206867625,19,0.75
115.40929330828415,18,0.75
115.57512214476212,18,0.75
115.65095983634325,18,0.75
115.69988581851023,19,0.75
115.77768361041305,19,0.75
116.03263723364702,18,0.75
116.49118549329614,18,0.75
116.57857647715144,17,0.75
117.5196323689846,18,0.75
118.38539398427831,17,0.75
118.54523926751065,18,0.75
118.99993044645747,19,0.75
119.21824228155448,20,0.75
119.58370985575019,21,0.75
119.64538288959032,20,0.75
119.66081730061198,20,0.75
120.21530913983673,19,0.75
121.24845708253852,18,0.75
123.48847292853311,17,0.75
123.58676822061635,17,0.75
124.21278314516564,18,0.75
124.42655179013067,17,0.75
126.38682635645924,16,0.75
127.57515716445735,15,0.75
128.44607471950246,16,0.75
128.45601695009577,15,0.75
128.49556739629807,15,0.75
128.8469763336803,16,0.75
129.11076849711657,17,0.75
129.1175300868792,16,0.75
129.30139727117415,17,0.75
129.53372158128346,17,0.75
130.4026421802575,18,0.75
130.76683114828117,17,0.75
131.6940160728634,16,0.75
133.18972377982584,15,0.75
133.42060947671803,15,0.75
